review,score
"Great university, great university",1
it is nice and the buildings are cute,1
it is such is a great and beautiful campus,1
Good competition and amazing faculties,1
"NICE PLACE TO STUDY, NICE LIBERARY! And I got so many friends in this year!",1
Did not attend due to moving back home to NI,1
V. Poor course choices with other problems that needs fixing. ,0
"While considered one of the ancient universities, there is little celebration of history or traditions present. The campus is worn and classrooms need to be cleaned/repaired/painted; too much is paid to executive salaries and not enough spent on upkeep or student enrichment. Leadership is mediocre and does not run the university as a modern institution, too much micromanagement. It craves international students but provides zero support and has been outright hostile in their treatment of them. Faculty are overworked and not able to reach the potential they could if academic units were staffed appropriately, and there is too much reliance on the student union to address student needs with the university not doing nearly enough. Don't go here if you have other options.",0
good university and student life,1
Worst place for international students. Openly racist lecturers. I regret wasting my money there.,0
"Great university to be at, escpacially for oil and gas studies, its very easy to get a job afterwards.",1
"The city is grey, cold and depressing, personal and mental health support is almost non-existent, Student Union is inactive, very little sense of student community, nothing to do in the city except a few pubs and clubs and a cinema, transport is expensive, no good social spaces for students (even if you're not very social it's nice to have somewhere to hang out between lectures). I would highly recommend not going here if you have poor mental health/aren't outgoing.",0
"beautiful main campus, well-stocked, spacious & awesome library, lecturers seemed professional, passionate & eager to share their own research (in the Archaeology & Anthropology department anyway), course feedback is helpful (though often late), easy to change courses or apply for exchange, loads of interesting societies.
",1
"A miserable, tacky, trashy, basic, nouveau-rich hellhole. Aberdeen has to be the world's most depressing city. Unless, you want to have a miserable student life and to develop suicidal toughts, avoid this university at all costs!
Aberdeen's weather is on a league of its own. It's excruciatingly cold, dark, rainy and insanely WINDY throughout the whole year. The fact that every single building is Aberdeen is GREY and made out of cold, dour granite, further contributes to inducing the locals into a state of utter despair and depression. Everyone in Aberdeen seems to be either drunk or depressed at all times.
No words can quite describe how utterly miserable Aberdeen is during the winter. The whole city is empty and devoid of life as there's very little to do since the city's main avenue is scattered with trahsy one-pound shops and McDonalds.
The uni itself is not bad (pretty much a mid-rank uni for average/below-average students). However, the city itself is utterly miserable. Avoid!",0
Uni has everything I need and glad I chose it.,1
"Not only as a researcher, anybody who studies and work at the School of engineering should be provided with reasonable working environment. School of engineering doesn't really care about providing the reasonable working environment for researchers, research students in general. Administrative service will keep you update with so many excuses but no solution in reality especially you are the only one who asking for help to solve an issue.",0
The university as a whole is amazing,1
"Although the student union is really just a small room with a bar (not good), the rest of the facilities are great - the library is up to date and impressive, sports facilitys are awesome and i thought the support you can get on your phone for IT stuff and my classes was good.
I felt supported through my degree here and met amazing people..if you actually engage with the Uni you get alot back - study abroad programs, work placements, career help, internships, competitions and lots of opportunity to feedback problems.
I liked the campus, the little shops and park areas feels like your back in time or at Hogwarts! But the virtual reality lessons and up to date computers made me feel like i was learning on the latest tech.
Def a good uni for Arts degrees, don't know about other ones.",1
"I would never recommend this school if you are pursuing a Masters in Law, researchers students teach you, and also they can be your supervisors which can led you fail your dissertation. No recommended. Student Union doesn’t care about you as Student.",0
"Honestly dreadful compared to other universities that I have attended. Foresterhill campus feels completely disconnected from the main campus. Is there even a students union? Management is poor. Even as a PhD student, I feel ignored by staff.
The city itself is dismal, grey and just dead. Public transport is shocking and overpriced. Student tickets cost more than standard single tickets in other cities.
Don't come here.",0
The library environment is a good resource and the Mc Roberts building is open 24/7 for studying. The zoology museum and botanic gardens is very nice and underrated. Foresterhill is amazing.,1
"Not a very welcoming university, as an international student it is difficult to integrate. The work ethic promoted by the university is not very motivating, teaching and quality of education is poor. Old fashioned run-down campus. Would not necessarily recommend, am changing universities.",0
"The university of aberdeen medical has failed to meet the teaching and professional standards. I have various complaints and concerns about the quality of education that I am getting. The medical school thinks self teaching clinical
Procedures is normal. They harass
International students and do not integrate international students with local students who are not welcoming or friendly.
I would never recommend studying at the University of aberdeen especially th medical school and physician associate program. It was extremely disorganized, racist teachers and students against Americans. The students are screaming and shouting before lectures and always on facebook. The students are very rude and unprofessional and many do not speak proper English. The professors fail to support the student and I do not even have a reagent! The quality of education and standards are th worst I have ever seen! Th city of aberdeen itself is terrines! Grey, depressing and unfriendly! Very rude and trashy",0
"Best student community in the UK, great range of activities (sport and societies), best night outs possible, prettiest library and prettiest campus, leading research center.",1
Great univrsity! THere's always lots of events going on,1
"All close together so easy to get around
Well equippeduo to date technology
No Union club/bar",1
"Lovely campus, great facilities, and an excellent offering of societies for a university of this size. The Students Union is unfortunately in a bit of a mess with a terrible building and too few people getting involved. Rated the career services three stars because I haven't used them - it's a bit silly that they make you rate everything.",1
WE NEED A REAL STUDENT UNION (that doesn't make Aberdeen any less-fun though!),0
Student union doesn't seem to act in favour of the students,0
Taylor library is the best library because nobody goes there. Students tend to be disgusting as they do not know what a paper tissue is.,0
I like Aberdeen university it's pretty fancy and old but the library etc is extremely moderen. The clubs and bars are quite far away as it's not a central university but they're just a bus journey or 10 min taxi ride away (or walk if you can be bothered). ASV is very near which is good.,1
"Truly horrible. The teaching was bland at best, making researchers teach students when they want to be in their labs is a terrible idea. One psych tutor legitimately shouted at me in front of my class for handing in a poor piece of work because I was ill. A mate studying a STEM degree couldn't understand half of his teachers' poor English. We don't have a real union, or a bar, we're half an hour from the dreadful city centre and the bus there costs £5 a day. EVERYTHING is grey, county-wide; and you're so isolated. The halls are actually way out in the countryside with only a Lidl close-by. The uni is decidedly run-down, very 60s. I found other students to be boringly conventional and rude too.
I visited friends at other unis across the UK and the difference in student satisfaction was astronomical. Save your time and go elsewhere",0
Really love it. I would recommend this uni.,1
Very diverse place in terms of people and academics you meet.,1
I think the university is very behind the times and the job prospects are not great. It's all theory and no practical skills are learnt,0
The university has such a beautiful campus which is always buzzing with activity. It does lack a union but the new renovations at hill-head student campus makes sure all freshers are closely linked together. societies are a great way to meet new people with an amazing sports and society fair at the start of the year there no chance of missing sign ups :),1
"While I do realise it might sound like a cliche, I actually feel like I belong here. I realise that my university is not a world-leading insitution but I think it is more student-friendly than others and really cares about students' experience.",1
Although far from home it is amazing!,1
lovely campus. A lovely mix of old and new. The kings college and new kings building are stunning and the Sir Duncan Rice Library is incredible with spectacular views on a sunny day! There is almost every book you could ever need and a catalogue to check if the book is on the shelf.,1
"Very good experience so far, am pleased",1
Haven't signed up to societies yet but there seems to be a big range. Also don't know too much about the union or career options. The campus is gorgeous and the library seems really useful and has been well designed.,1
"Don't know a lot about it yet, it's my first year, but it seems well organized",1
"this place is great, i love it!!",1
Great academic and social experience,1
"Everything I need is on campus. I love love love the key store! Wi-fi is good, and bus 20 is a really good bus connection.",1
one lecturer who is awful though,0
Social activities and groups are really engaging and definitly worth joining. The sports village is great and most other facilities are very good as well.,1
Wifi was slow and crashed during my exam. There were a lot of clubs etc but very expensive.,0
"Love it bar the 'federal' part of the uni. Individual facultys are very strong, societies are amazing and sports wise its very good. Just a shame about the hwole accomodation thing",1
The campus is the most beautiful area in Aberdeen.,1
"Having the mountains on your door step, the ocean on your door step and a fantastic campus with WiFi all over is absolutely brilliant! Brand new facilities are being built and it's a really exciting time to start a degree at the University of Aberdeen! And its not THAT cold....",1
"With great career opportunities after graduating it's no surprise that the University of Aberdeen is one of the best universities not only in Scotland, Britain and Europe. People from all over the world come to study at the university and to experience the beautiful old fashioned campus and the very contemporary library. The city of Aberdeen is just as beautiful as the university and he nightlife is one of the best in Scotland. Studying at the University of Aberdeen will leave you with no regrets and many happy memories!",1
lovely place to study combining historic environment with the future in same place.,1
"I love it here, the law library is especially impressive",1
"Fantastic experience. There's a great sense of community and the clubs and societies are well worth looking at (they are both inclusive and friendly). The university's degree programmes are dynamic and stimulating, and the lecturers are passionate, and for the most part prolific in their fields. I would definitely recommend giving the university a visit to fully appreciate the atmosphere.",1
"The University of Aberdeen is filled with friendly faces and a helpful staff. The opportunities you are presented with both during and after your studies is incredible, and I already feel right at home.",1
"The best place to study! ""Come here, go anywhere""",1
"Fab uni, really welcoming and the courses are fantastic. Great for indecisive people, as changing courses is easy. Give lots of support - just brilliant.",1
"Beautiful. Plenty of facilities for study and learning, you just have to know where to look. Great environments for every kind of learner. Brilliant clubs and societies",1
I'm going to be a fresher there this year and from my point of view everything is excellent!,1
Great university. It's no Oxbridge but it's alright.,1
